Time(s),Instance_0,Instance_1,Instance_2,Instance_3,Instance_4,Instance_5,Instance_6,Instance_7,Instance_8,Instance_9,Instance_10,Instance_11,Instance_12,Instance_13,Instance_14,Instance_15
5s,100.96,101.76,100.96,101.36,97.36,97.16,100.76,79.37,78.97,99.96,78.97,100.36,100.35,98.50,100.55,78.68
10s,99.80,102.00,101.60,101.80,100.21,99.81,101.60,89.20,78.80,102.01,79.21,101.81,101.60,100.01,88.60,79.50
15s,101.40,102.00,102.00,102.01,100.20,99.20,101.60,101.80,79.20,102.40,79.80,101.80,101.20,100.80,78.80,79.20
20s,101.80,102.00,102.00,82.60,99.20,99.00,101.40,102.00,94.60,101.60,79.20,102.20,101.20,99.99,77.60,78.60
25s,102.20,102.40,102.00,79.00,100.60,99.00,101.60,102.00,101.80,101.80,79.80,102.40,100.80,100.81,79.00,78.60
30s,102.00,102.00,101.80,79.20,99.60,99.20,101.80,101.60,101.80,101.80,79.80,102.00,99.80,101.60,79.00,79.00
35s,86.20,101.80,83.00,93.00,100.00,99.00,100.80,99.00,101.00,101.00,92.60,80.80,99.60,93.00,76.20,97.20
40s,79.40,98.80,101.80,101.40,101.40,99.20,101.20,101.20,101.40,101.40,99.40,79.20,100.20,79.40,78.60,101.00
45s,79.20,102.20,100.40,102.00,101.80,100.00,102.00,101.80,102.00,102.20,97.00,79.40,98.20,79.20,79.00,100.00
50s,78.60,100.20,101.20,102.00,100.40,101.80,101.60,98.00,101.20,101.80,99.40,79.38,98.20,79.40,78.40,101.60
55s,79.20,100.40,102.00,102.40,98.00,102.20,101.80,102.20,102.20,102.00,100.20,79.02,101.20,79.40,78.80,101.80
60s,79.40,98.80,102.00,102.20,98.60,102.00,102.00,102.20,101.60,101.60,99.40,79.00,101.00,79.00,79.00,101.60
65s,79.20,93.00,101.20,101.60,95.20,101.00,101.80,101.40,97.80,102.00,98.00,78.20,100.00,79.00,78.40,100.45
70s,79.40,100.60,90.00,100.60,102.20,101.40,101.80,101.60,101.60,101.80,100.20,79.40,99.00,79.40,93.20,102.15
75s,79.40,102.00,79.00,100.20,102.00,102.00,101.80,101.40,102.20,102.20,100.00,79.40,99.60,79.20,102.00,102.00
80s,79.40,101.40,79.00,82.60,102.20,99.80,99.40,100.80,101.80,102.20,98.20,96.00,101.80,79.40,101.20,101.80
85s,79.20,101.60,79.20,79.60,101.80,101.80,100.60,102.20,102.00,102.40,100.20,101.80,100.20,79.60,102.20,102.40
90s,78.49,101.00,79.20,79.80,101.80,101.60,101.40,102.00,101.80,101.20,99.80,101.00,100.60,79.20,102.00,101.60
95s,72.10,101.20,76.20,74.00,100.80,96.80,101.40,95.80,100.40,101.20,75.40,94.20,91.80,72.60,99.20,100.00
100s,99.60,101.20,79.00,102.20,101.80,101.60,98.20,79.40,101.80,102.00,77.60,102.20,99.60,79.80,99.60,102.20
105s,101.80,99.40,79.19,101.80,101.80,101.80,101.40,79.60,102.40,102.20,77.80,102.40,100.00,79.40,101.60,100.80
110s,80.00,101.20,94.41,101.80,102.20,101.60,99.80,77.80,101.20,101.80,78.00,100.80,99.00,79.20,99.60,98.40
115s,78.80,100.80,102.00,102.00,102.20,101.20,101.80,79.00,102.20,102.00,79.20,102.20,100.40,79.40,99.60,100.00
120s,78.40,98.00,101.80,102.00,101.80,101.60,101.60,79.40,102.00,101.60,78.60,102.40,99.60,79.60,101.60,99.80
125s,78.40,98.80,95.20,94.00,100.20,101.80,101.60,81.20,101.00,101.20,79.20,100.20,83.99,78.80,101.80,98.80
130s,79.00,100.20,102.20,100.20,100.80,101.80,102.40,101.40,101.00,102.40,79.00,100.20,79.01,79.60,101.80,99.80
135s,79.20,101.00,102.00,101.60,101.80,102.00,102.00,101.60,100.60,102.00,79.40,100.20,79.40,79.20,102.00,99.20
140s,95.20,101.40,102.40,101.40,81.20,101.80,102.20,101.80,100.00,102.00,79.00,99.40,77.20,79.40,101.80,99.80
145s,102.00,101.40,102.20,101.60,79.20,102.40,102.00,102.00,99.80,102.40,79.40,100.40,79.20,79.40,102.20,100.20
150s,101.60,101.40,102.00,102.00,79.20,101.00,101.00,101.80,101.40,102.40,79.40,100.20,79.40,79.20,101.80,99.60
155s,84.20,100.60,102.00,101.80,93.60,101.00,99.20,98.40,100.40,102.00,78.80,99.00,76.20,78.00,100.60,96.60
160s,94.80,101.60,101.20,83.80,101.80,100.00,98.40,101.20,101.40,81.40,79.60,101.40,98.20,78.80,101.80,99.61
165s,102.20,101.40,102.00,79.60,98.40,102.20,99.80,102.00,102.60,79.20,79.40,101.20,100.80,78.80,101.80,100.00
170s,102.00,100.20,101.80,79.20,100.00,99.20,102.20,99.60,101.80,78.80,95.20,98.60,79.80,79.40,101.80,97.40
175s,102.00,102.40,101.80,79.40,101.40,101.40,102.00,102.20,101.80,79.20,100.40,98.80,79.20,79.80,101.40,101.40
180s,101.60,101.20,101.80,79.60,101.20,100.80,101.80,100.60,102.20,79.20,100.40,99.80,78.60,79.40,101.40,101.80
185s,101.60,100.80,100.80,78.80,100.40,101.60,99.80,101.80,101.00,79.00,96.40,99.80,78.40,78.80,100.80,100.00
190s,101.99,101.20,101.60,79.40,101.60,85.00,93.20,99.80,102.00,75.40,99.60,99.40,79.00,97.00,101.00,101.80
195s,101.61,101.20,101.80,78.80,101.80,78.40,101.60,99.80,101.80,78.20,99.80,99.60,78.60,101.40,101.40,101.40
200s,102.00,100.20,102.00,79.20,102.00,96.40,101.60,100.20,81.40,77.40,100.00,98.60,79.40,101.60,100.80,101.40
205s,102.20,101.60,101.60,78.80,102.40,102.00,101.60,101.40,79.20,78.60,91.40,97.80,87.80,101.80,102.20,101.80
210s,102.20,100.60,102.00,79.20,101.60,102.20,101.60,101.40,78.80,78.80,79.40,99.00,99.60,101.80,102.00,101.80
215s,101.80,99.00,99.00,75.80,101.00,100.20,101.80,80.00,79.00,97.00,78.20,100.00,99.60,100.80,101.80,101.20
220s,102.00,89.20,102.00,78.80,101.80,99.80,99.00,78.20,88.20,102.20,89.00,101.60,97.80,101.00,102.00,87.80
225s,101.80,79.00,101.80,79.20,99.20,100.00,100.80,79.40,102.20,101.80,98.60,102.00,102.00,101.80,101.80,79.00
230s,99.20,79.00,102.20,79.00,97.20,97.19,101.80,78.40,102.00,102.00,97.40,98.20,101.80,101.80,100.60,79.00
235s,102.00,78.80,101.80,79.20,101.60,99.81,101.80,78.80,101.40,101.80,96.60,102.00,101.20,102.00,102.00,78.80
240s,102.00,79.20,102.00,79.60,100.80,99.60,101.80,79.20,101.80,101.20,98.60,101.40,101.80,101.80,102.00,79.00
245s,101.40,78.60,101.40,96.40,99.40,99.60,101.80,78.60,101.60,101.80,99.00,100.40,77.80,101.80,101.80,78.74
250s,101.80,78.80,101.20,100.00,99.60,100.20,101.20,78.60,92.00,101.60,99.00,101.40,86.00,100.20,100.80,79.06
255s,101.80,79.40,101.80,102.00,100.20,100.40,102.20,79.20,79.20,101.60,99.80,101.80,101.60,102.00,102.40,79.40
260s,100.60,79.80,101.60,101.80,100.20,97.40,102.00,77.40,78.20,101.80,99.60,101.60,101.80,102.00,102.20,79.00
265s,102.00,79.80,102.20,102.00,102.40,100.60,102.00,77.80,79.20,102.40,99.80,101.80,101.20,101.80,102.20,79.00
270s,101.80,79.40,101.80,101.80,101.80,99.20,101.60,79.00,79.40,102.00,99.80,101.20,100.20,102.00,101.80,79.20
275s,98.80,77.00,101.80,101.80,98.00,96.60,101.60,79.00,78.60,102.00,99.16,102.00,97.80,101.80,101.20,78.60
280s,100.54,79.60,101.20,100.80,100.00,99.00,101.20,78.40,79.20,101.80,98.24,100.20,100.20,99.80,97.80,78.80
285s,101.26,79.40,102.20,101.40,102.00,102.40,101.80,79.20,79.40,99.00,99.80,100.20,100.20,101.40,101.80,79.00
290s,100.40,78.80,99.40,101.40,99.20,100.60,101.60,78.20,78.60,101.80,98.20,100.00,97.00,95.00,101.20,78.20
295s,101.80,79.20,101.20,101.80,102.00,102.00,102.00,79.00,79.00,101.80,100.60,101.20,100.40,99.80,102.00,79.00
300s,102.00,79.40,100.40,101.79,102.00,101.60,101.40,79.00,79.40,101.60,100.00,101.80,100.20,98.80,102.20,79.20
305s,102.00,79.80,101.60,101.81,102.40,101.60,102.00,94.60,78.40,102.00,80.40,101.00,100.00,98.40,101.40,78.60
310s,101.40,79.60,100.80,100.98,100.40,100.80,101.60,100.00,78.60,100.78,78.80,101.80,100.20,100.00,101.80,77.36
315s,101.20,79.40,101.20,100.42,101.40,99.80,82.80,99.80,77.40,101.22,78.20,100.60,101.40,99.20,100.20,98.65
320s,101.60,79.40,101.20,102.00,101.60,100.80,79.20,99.80,79.00,102.20,78.40,101.40,100.80,98.80,99.00,99.20
325s,101.60,79.20,101.40,102.20,102.00,102.40,79.40,100.38,78.80,102.00,79.20,101.80,100.20,100.40,102.00,101.80
330s,101.40,79.20,100.60,102.20,101.60,101.80,79.00,100.42,78.80,101.20,78.80,101.80,101.00,99.80,102.00,101.60
335s,98.60,79.40,101.00,102.00,101.80,101.40,79.60,101.00,77.60,100.20,79.00,102.00,102.00,97.80,99.20,102.19
340s,102.00,79.00,101.80,101.20,101.60,101.80,79.00,99.80,78.80,100.00,78.40,101.40,101.00,99.80,101.20,100.21
345s,96.40,91.20,90.40,101.60,102.40,101.60,79.40,101.20,78.60,98.80,77.00,100.80,99.60,100.00,98.40,100.40
350s,102.00,100.60,75.60,101.60,102.20,100.80,78.80,101.80,79.00,91.80,85.80,102.00,98.80,95.60,99.00,102.20
355s,101.80,102.20,79.20,102.20,102.00,102.20,79.40,102.00,79.20,79.40,102.00,102.20,100.40,99.60,100.00,101.80
360s,101.40,101.60,79.20,102.40,101.60,102.00,79.40,102.20,79.20,79.40,101.60,102.00,99.60,99.00,99.40,102.00
365s,101.60,101.00,78.80,102.00,80.40,101.60,78.40,102.20,96.60,79.00,101.80,101.40,100.60,97.40,100.40,101.80
370s,101.00,101.00,77.80,101.80,78.40,101.60,78.60,100.80,100.20,78.40,101.40,101.20,101.20,99.60,100.40,100.40
375s,102.00,92.60,83.40,101.80,78.98,101.80,86.60,101.80,98.20,78.80,102.00,90.20,101.80,99.80,100.80,100.20
380s,101.80,79.60,83.80,101.60,94.62,101.40,102.20,101.80,101.60,78.40,101.80,79.40,100.60,99.60,99.00,100.40
385s,101.60,79.40,79.40,102.00,102.40,102.00,102.00,102.00,102.40,79.20,102.20,79.20,101.80,100.00,99.00,101.80
390s,102.00,79.40,79.00,102.40,101.80,102.00,101.80,101.80,102.20,79.19,101.80,78.60,102.00,99.60,98.20,101.20
395s,102.00,79.20,78.00,101.80,101.00,101.40,101.80,101.40,100.40,95.82,99.00,78.80,100.60,78.20,96.80,101.38
400s,101.40,78.80,78.20,100.80,101.80,101.60,101.60,101.40,101.40,99.60,101.60,78.40,101.80,79.00,98.40,101.03
405s,101.60,78.60,79.60,101.80,101.80,99.80,101.80,101.20,98.20,99.60,100.60,82.80,97.60,79.20,99.20,94.00
410s,98.80,76.20,79.80,102.00,101.80,99.40,101.80,102.20,101.60,95.60,102.00,100.00,102.20,77.80,101.00,79.00
415s,101.80,79.20,79.80,102.00,101.80,101.60,102.20,102.40,101.40,100.00,102.00,99.40,101.60,79.00,100.20,79.00
420s,101.80,79.40,79.40,102.00,102.00,102.20,101.80,102.00,101.60,100.00,101.80,99.40,101.40,79.00,100.40,79.60
425s,102.00,79.20,78.40,102.20,101.80,102.20,101.60,102.20,101.00,98.20,101.40,100.00,102.00,78.60,99.20,75.60
430s,101.00,78.60,78.20,102.00,101.80,100.80,101.40,101.60,101.00,99.00,100.40,100.20,100.40,78.60,100.20,79.80
435s,102.40,79.20,78.80,102.20,101.40,101.60,101.20,101.80,102.20,99.40,101.80,96.40,101.40,79.20,98.00,79.60
440s,82.80,79.40,97.40,98.60,101.40,100.20,101.80,101.80,101.80,96.60,79.00,78.40,101.00,100.20,102.20,102.00
445s,78.60,78.80,99.60,99.60,101.60,101.00,101.60,101.40,101.40,101.20,78.60,78.60,101.60,100.60,101.80,101.00
450s,79.00,78.80,100.20,100.00,101.60,101.40,101.40,101.60,101.20,101.40,78.60,79.00,101.80,100.80,102.00,101.40
455s,78.80,77.80,100.00,97.00,102.00,102.00,98.80,102.00,101.40,101.00,79.00,79.40,101.80,98.60,101.20,98.60
460s,78.40,78.20,100.20,101.80,101.20,101.40,100.80,101.20,101.20,100.40,78.80,79.20,101.20,99.60,101.40,100.60
465s,79.40,79.00,100.00,101.20,101.60,101.80,101.60,101.40,102.20,101.60,78.80,79.38,102.00,99.60,101.60,101.40
470s,79.20,93.80,83.40,98.20,102.00,94.60,98.20,101.80,101.60,98.80,79.20,76.61,100.60,97.60,101.60,95.80
475s,79.20,99.80,79.00,100.40,102.20,99.40,102.00,101.80,102.20,101.40,79.40,79.00,102.00,102.00,102.00,101.80
480s,79.60,101.40,78.60,100.20,102.00,101.20,101.40,101.60,101.00,101.80,79.60,78.80,101.60,101.80,102.00,100.60
485s,78.60,102.60,78.60,98.60,102.00,102.39,99.40,101.80,99.60,101.60,78.80,78.80,101.00,102.00,101.80,100.20
490s,78.80,102.20,79.00,99.80,101.60,102.21,101.40,101.20,99.20,101.20,78.60,78.60,101.00,101.80,101.80,100.20
495s,79.40,102.60,79.20,100.40,101.80,100.80,101.80,101.40,100.60,102.00,79.20,79.00,101.40,101.80,102.00,101.80
500s,79.40,102.20,75.20,98.80,101.60,98.40,102.20,91.00,98.20,101.60,88.40,78.60,100.60,101.60,102.20,95.40
505s,79.20,102.00,78.80,100.00,101.60,101.00,98.80,79.20,101.80,101.00,101.60,78.80,101.80,101.60,102.40,100.80
510s,79.20,102.60,79.20,99.00,102.40,101.60,100.20,79.40,100.00,101.60,101.20,79.00,101.80,102.20,102.40,101.60
515s,79.80,101.40,79.20,98.40,97.60,102.00,98.60,79.20,99.80,101.60,99.60,78.80,102.20,101.80,102.40,101.60
520s,78.20,102.00,78.00,99.40,78.40,101.40,99.80,79.20,100.60,100.60,100.40,101.60,101.80,101.00,101.40,101.40
525s,79.20,101.80,79.00,100.00,78.00,101.80,100.98,79.00,100.80,101.80,101.40,101.40,102.00,101.00,101.80,101.60
530s,79.00,101.00,82.20,95.80,77.80,101.00,98.42,77.80,98.60,100.80,91.20,100.40,102.00,99.95,98.60,99.20
535s,98.40,102.00,77.80,102.20,79.20,101.60,102.40,79.20,101.80,99.20,79.20,102.00,101.60,102.25,100.00,100.60
540s,99.40,102.00,79.20,101.80,79.00,101.40,102.00,78.80,101.60,101.80,79.20,102.00,101.60,101.00,101.00,100.40
545s,97.20,102.00,79.60,102.00,79.00,101.80,102.00,78.40,101.60,101.60,78.00,101.00,102.20,100.40,99.40,100.40
550s,99.60,101.20,78.40,102.00,78.00,100.80,102.20,78.80,101.60,100.60,78.00,101.60,102.00,100.60,101.00,100.80
555s,100.40,101.40,79.20,102.40,79.20,99.80,102.40,79.20,101.20,101.60,79.40,102.40,102.20,101.80,101.00,102.20
560s,98.60,101.20,94.40,101.00,76.40,99.40,101.80,77.40,81.20,100.60,78.40,95.00,101.20,101.60,102.00,100.60
565s,99.80,101.40,100.20,101.80,79.00,102.20,102.20,102.20,79.80,101.40,79.20,79.20,102.00,101.80,102.40,100.60
570s,99.60,100.40,100.60,101.80,79.00,102.60,101.60,100.80,79.00,101.60,79.40,79.20,102.00,101.80,102.00,101.80
575s,99.20,94.20,102.00,102.00,97.60,82.00,101.60,99.20,79.60,101.80,79.40,78.60,98.80,101.40,102.20,102.40
580s,99.60,99.60,100.80,101.40,101.60,78.80,101.40,99.00,79.40,101.60,78.60,79.00,100.80,100.40,101.20,101.60
585s,99.80,100.20,100.80,102.20,102.20,79.00,102.00,100.40,79.20,102.40,79.40,79.00,102.40,102.00,101.60,102.40
590s,97.60,99.80,100.40,101.80,101.60,78.80,101.20,99.60,77.60,101.57,77.40,79.00,98.60,100.54,96.00,102.00
595s,98.00,95.80,101.00,100.80,102.00,77.80,95.60,101.60,79.00,100.63,79.00,79.40,99.40,101.26,101.20,102.20
600s,99.80,,,,,,,,,,,,,,,
Final_Avg_EPS,93.83,92.90,92.85,96.68,97.81,99.38,98.87,94.05,93.90,97.52,89.26,93.55,97.71,93.43,98.74,95.08
